workerid	OS	screenH	screenW	Browser
0	Linux	592	360	Chrome
1	Windows	1080	1920	Chrome
2	Windows	900	1600	Chrome
3	Windows	768	1366	Chrome
4	Windows	900	1600	Chrome
5	Windows	1080	1920	Chrome
6	Windows	768	1366	Firefox
7	Windows	1080	1920	Chrome
8	Mac	900	1440	Chrome
9	Windows	900	1600	Chrome
10	Windows	1080	1920	Firefox
11	Windows	900	1600	Chrome
12	Windows	900	1600	Chrome
13	Windows	768	1024	Chrome
14	Windows	768	1366	Chrome
15	Windows	768	1366	Chrome
16	Windows	720	1280	Chrome
17	Mac	900	1440	Chrome
18	Windows	768	1366	Chrome
19	Mac	900	1440	Chrome
20	Mac	963	1540	Firefox
21	Windows	1080	1920	Chrome
22	Windows	1080	1920	Chrome
23	Windows	900	1440	Chrome
24	Windows	768	1366	Chrome
25	Windows	768	1366	Chrome
26	Linux	900	1600	Chrome
27	Mac	800	1280	Chrome
28	Windows	1024	1280	Chrome
29	Windows	900	1440	Firefox
30	Mac	1440	2560	Safari
31	Windows	720	1280	Chrome
32	Windows	768	1366	Firefox
33	Windows	1200	1920	Chrome
34	Windows	614	1093	Firefox
35	Windows	1050	1680	Chrome
36	an unknown OS	1024	768	Safari
37	Windows	900	1440	Chrome
38	Windows	800	1280	Chrome
39	Windows	1080	1920	Chrome
40	Windows	900	1440	Chrome
41	Windows	768	1366	Firefox
42	Windows	900	1600	Chrome
43	Windows	768	1024	Chrome
44	Windows	768	1366	Chrome
45	Windows	800	1280	Chrome
46	Windows	1024	1280	Chrome
47	Windows	960	1708	Firefox
48	Windows	1050	1680	Chrome
49	Windows	768	1366	Chrome
50	Windows	900	1440	Firefox
51	Windows	768	1366	Chrome
52	Windows	768	1366	Chrome
53	Windows	990	1760	Firefox
54	Windows	768	1024	Chrome
55	Windows	563	1002	Firefox
56	Windows	900	1440	Chrome
57	Windows	900	1600	Chrome
58	Mac	1440	2560	Chrome
59	Windows	768	1366	Chrome
60	Windows	1050	1680	Firefox
61	Windows	768	1024	Chrome
62	Windows	1024	1280	Chrome
63	Windows	900	1600	Firefox
64	Windows	768	1366	Chrome
65	Windows	720	1280	Chrome
66	Mac	1200	1920	Chrome
67	Windows	900	1600	Firefox
68	Windows	1029	1829	Mozilla
69	Windows	768	1366	Chrome
70	Windows	1125	2000	Firefox
71	Windows	1200	1920	Chrome
72	Windows	768	1366	Chrome
73	Mac	1050	1680	Chrome
74	Windows	960	1280	Firefox
75	Windows	768	1366	Firefox
76	Windows	1080	1920	Chrome
77	Windows	768	1024	Firefox
78	Windows	768	1366	Chrome
79	Windows	768	1366	Chrome
80	Windows	768	1366	Firefox
81	Linux	1080	1920	Chrome
82	Windows	768	1366	Chrome
83	Windows	768	1366	Chrome
84	Windows	900	1600	Chrome
85	Linux	360	640	Chrome
86	Windows	1024	1280	Chrome
87	Windows	682	853	Chrome
88	Windows	704	1252	Firefox
89	Windows	720	1280	Chrome
90	Windows	821	1094	Firefox
91	Windows	864	1536	Firefox
92	Mac	900	1440	Chrome
93	Windows	768	1024	Chrome
94	Windows	900	1600	Firefox
95	Mac	900	1440	Chrome
96	Linux	768	1366	Chrome
97	Windows	768	1366	Chrome
98	Windows	1080	1920	Chrome
99	Windows	900	1440	Chrome
