iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	sender	underlyingWorld	timeFromMessage	gridState	cellAskedAbout	answer	eventType
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775494900	1	practice	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	16999	{"safe":["A1","A2"],"unsafe":[]}	A3	A3	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775535308	3	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"unsafe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"unsafe"}	20437	{"safe":["A1","B2","B3"],"unsafe":[]}	B1	B1,C1	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775588140	5	random	1	leader	human	{"A1":"safe","A2":"unsafe","A3":"unsafe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	9738	{"safe":["C2","C3"],"unsafe":[]}	C1	C1	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775637317	7	blocked	1	leader	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	18609	{"safe":["C1"],"unsafe":[]}	C2	C2,C3	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775677038	9	empty	1	leader	human	{"A1":"unsafe","A2":"safe","A3":"unsafe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	21540	{"safe":[],"unsafe":[]}	C3	C2,C3	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775685823	9	empty	2	leader	human	{"A1":"unsafe","A2":"safe","A3":"unsafe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	30326	{"safe":["C3","C2"],"unsafe":[]}	C1	C1	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775728300	11	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"unsafe","C3":"safe"}	23069	{"safe":["A2","A3"],"unsafe":[]}	B2	B1,B2	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775756961	11	random	2	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"unsafe","C3":"safe"}	51726	{"safe":["A2","A3","B1"],"unsafe":["B2"]}	B3	A1,B3	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775764777	11	random	3	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"unsafe","C3":"safe"}	59547	{"safe":["A2","A3","B1","A1"],"unsafe":["B2","B3"]}	C1	C1	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775794058	13	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"unsafe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"unsafe","C3":"safe"}	10803	{"safe":["A1","B2","C1"],"unsafe":[]}	B1	B1	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775827341	15	pragmatic	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"unsafe","C2":"safe","C3":"safe"}	15446	{"safe":["B2"],"unsafe":[]}	C2	A2,C2	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775868890	17	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	10299	{"safe":["A2","A3","B1","B2","C3"],"unsafe":[]}	C2	C2	answer
testing	1802-ac622e92-cb81-4ca9-a5ec-266a8717e249	1550775898711	19	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	8318	{"safe":["B2","C2","C3"],"unsafe":[]}	C1	C1	answer
