iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	trueGoal	cellAskedAbout	goalResponse	gridState	eventType
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777578425	1	practice	1	leader	rows	A1	rows	{"safe":["A2","A3"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777620766	3	random	1	leader	rows	B1	rows	{"safe":["B2","B3","C2"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777656521	5	random	1	leader	columns	A1	rows	{"safe":["C1"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777702301	7	random	1	leader	rows	B3	rows	{"safe":["A2","B2","C1"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777723280	7	random	2	leader	rows	A3	rows	{"safe":["A2","B2","C1","A1"],"unsafe":["B3"]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777756285	9	random	1	leader	columns	B2	columns	{"safe":["C2","C3"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777783720	9	random	2	leader	columns	B3	columns	{"safe":["C2","C3"],"unsafe":["B2","C1"]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777795183	9	random	3	leader	columns	A3	columns	{"safe":["C2","C3","B3"],"unsafe":["B2","C1"]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777872950	11	blocked	1	leader	columns	B3	columns	{"safe":["C3"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777895735	11	blocked	2	leader	columns	A1	columns	{"safe":["C3","B3"],"unsafe":["A3"]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777909922	11	blocked	3	leader	columns	C1	columns	{"safe":["C3","B3","A1","B1"],"unsafe":["A3"]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777955612	13	random	1	leader	rows	A1	rows	{"safe":["A3"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550777999157	15	empty	1	leader	columns	C2	rows	{"safe":[],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550778017731	15	empty	2	leader	columns	B2	columns	{"safe":["C2","C1"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550778046005	15	empty	3	leader	columns	B1	columns	{"safe":["C2","C1","A1"],"unsafe":["B2"]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550778117789	17	pragmatic	1	leader	rows	B1	rows	{"safe":["B2"],"unsafe":[]}	goalInference
testing	8200-e7d41631-6a3f-442a-8062-0593ac933090	1550778154336	19	random	1	leader	columns	A1	columns	{"safe":["A3","B1","B2","C1"],"unsafe":[]}	goalInference
